1, none, minecraft:the_void, MONSTER, starvingskeleton:starving_skeleton, 10, 1, 4
2, none, minecraft:the_void, MONSTER, midnightlurker:midnightlurker_ne, 10, 1, 1
3, none, minecraft:the_void, MONSTER, theticklemonste:tickle_monster, 10, 1, 1
4, none, minecraft:the_void, MONSTER, the_anomaly:ent_attack_animal, 20, 4, 4
5, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_watcher, 15, 1, 1
6, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_unprovoked, 15, 1, 1
7, none, minecraft:the_void, MONSTER, blanketghost:blanket_ghost, 10, 1, 1
8, none, minecraft:the_void, MONSTER, midnightlurker:invisible_cave_sounds, 10, 1, 1
9, none, minecraft:the_void, MONSTER, burning_man:burning_man, 10, 1, 1
10, none, minecraft:the_void, MONSTER, thepossessivemask:the_possessive_mask_host, 10, 1, 1
11, none, minecraft:the_void, MONSTER, boh:michael_davies, 20, 4, 4
12, none, minecraft:the_void, MONSTER, midnightlurker:spookyambienceentity, 10, 1, 1
13, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_seen_angressive, 10, 1, 1
14, none, minecraft:the_void, MONSTER, the_anomaly:anomaly_escape, 80, 1, 1
15, none, minecraft:the_void, MONSTER, the_cuckoo_clock:chuckoo_clock, 10, 1, 1
16, none, minecraft:the_void, MONSTER, humans_refuted:humans_refuted, 10, 1, 4
17, none, minecraft:the_void, MONSTER, alexsmobs:farseer, 30, 1, 1
18, none, minecraft:the_void, MONSTER, theboogeyman:stalking_boogeyman, 10, 1, 1
19, none, minecraft:the_void, MONSTER, hardtodestroyreptile:the_hard_to_destroy_reptile, 10, 1, 1
20, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_creep, 15, 1, 1
21, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_backturned, 15, 1, 1
22, none, minecraft:the_void, MONSTER, midnightlurker:invisible_static, 10, 1, 1
23, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_hider, 10, 1, 1
24, none, minecraft:the_void, MONSTER, tr_slender:slenderman, 25, 1, 1
25, none, minecraft:the_void, MONSTER, antlers:wendigo, 20, 1, 1
26, none, minecraft:the_void, MONSTER, sleep_killer:sleep_killer, 10, 1, 4
27, none, minecraft:the_void, MONSTER, the_anomaly:anomaly_shadow, 80, 1, 1
28, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_stalking, 15, 1, 1
29, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_invisible, 10, 1, 1
30, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_stare, 15, 1, 1
31, none, minecraft:the_void, MONSTER, the_anomaly:anomaly_visitor_2, 80, 1, 1
32, none, minecraft:the_void, MONSTER, the_anomaly:anomaly_visitor, 80, 1, 1
33, none, minecraft:the_void, MONSTER, the_anomaly:anomaly_viewer, 80, 1, 1
34, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_faker_watcher, 10, 1, 1
35, none, minecraft:the_void, MONSTER, midnightlurker:midnight_phantom_head, 12, 1, 1
36, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_faker, 10, 1, 1
37, none, minecraft:the_void, MONSTER, peripheral_jumper:peripheral_jumper, 10, 1, 1
38, none, minecraft:the_void, MONSTER, eyesinthedark:eyes_in_the_dark, 10, 1, 1
39, none, minecraft:the_void, MONSTER, red_sea_object:scp_093, 10, 1, 1
40, none, minecraft:the_void, MONSTER, builder_bear:scp_1048_b, 10, 1, 1
41, none, minecraft:the_void, MONSTER, eye_pods:eye_pod_spawn, 10, 1, 1
42, none, minecraft:the_void, MONSTER, the_sculpture:the_sculpture, 10, 1, 1
43, none, minecraft:the_void, MONSTER, shy_guy:shy_guy, 10, 1, 1
44, none, minecraft:the_void, MONSTER, builder_bear:builder_bear, 10, 1, 1
45, none, minecraft:the_void, MONSTER, builder_bear:scp_1048_a, 10, 1, 1
46, none, minecraft:the_void, MONSTER, erics_toy:erics_toy, 10, 1, 1
47, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_runaway, 15, 1, 1
48, none, minecraft:the_void, MONSTER, theplaguedoctor:plague_doctor, 10, 1, 1
49, none, minecraft:the_void, MONSTER, the_anomaly:anomaly_shadow_stalker, 80, 1, 1
50, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_faker_aggro, 10, 1, 1
51, none, minecraft:the_void, MONSTER, the_cuckoo_clock:stalking_chuckoo_clock, 20, 1, 1
52, none, minecraft:the_void, MONSTER, theboogeyman:boogeyman_hallucination, 10, 1, 1
53, none, minecraft:the_void, MONSTER, the_sculpture:mexican_sculpture, 10, 1, 1
54, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_shadow, 10, 1, 1
